"created_at","updated_at","id","timestamp","PM25","PM10","O3","SO2","NO","NO2","NOX","CO","CH4","NMHC","THC","wind_speed","wind_gust_speed","wind_direction","wind_gust_direction","wind_gust_timestamp","air_humidity","air_temperature","container_humidity","container_temperature","solar_radiation","rain_intensity","station_id","AQI","AQI_detail","AQI_parameter","PM25_AQI","PM10_AQI","O3_AQI","SO2_AQI","NO2_AQI","CO_AQI","CH4_AQI"
"2025-05-24 11:53:26.989978+00","2025-05-29 09:21:44.656894+00","6868","2025-01-01 00:00:00+00","0","0","3.58","0.47","4.94","19.9","14.32","0.84","2","0.24","2.24","0.87","2.76","264.36","264","23.48","79.19","26.38","28.28","27.94","-0.73","0","DKJ33",13,"{""CO"": 1, ""O3"": 2, ""CH4"": 3, ""NO2"": 13, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","2","1","13","1","3"
"2025-05-24 11:53:26.995075+00","2025-05-29 09:28:56.136434+00","6869","2025-01-01 00:30:00+00","0","0","3.4","1.21","6.59","19.86","15.62","0.86","2.04","0.29","2.33","0.96","2.65","245.58","254","0.21","79.74","26.26","28.64","27.63","-0.61","0","DKJ33",13,"{""CO"": 1, ""O3"": 2, ""CH4"": 3, ""NO2"": 13, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","2","1","13","1","3"
"2025-05-24 11:53:26.99795+00","2025-05-29 09:21:44.697984+00","6870","2025-01-01 01:00:00+00","0","0","4.14","1.39","5.55","18.13","13.88","0.79","2.03","0.29","2.32","1.11","2.69","244.12","261","0.49","79.51","26.27","28.64","27.67","-0.64","0","DKJ33",13,"{""CO"": 1, ""O3"": 2, ""CH4"": 3, ""NO2"": 13, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","2","1","13","1","3"
"2025-05-24 11:53:27.000568+00","2025-05-29 09:21:44.739875+00","6871","2025-01-01 01:30:00+00","0","0","4.21","0.93","4.05","17.21","12.21","0.74","1.96","0.25","2.22","1.01","2.78","235.06","247","1.13","80.36","26.13","28.8","27.83","-0.64","0","DKJ33",12,"{""CO"": 1, ""O3"": 2, ""CH4"": 3, ""NO2"": 12, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","2","1","12","1","3"
"2025-05-24 11:53:27.003985+00","2025-05-29 09:28:56.182568+00","6872","2025-01-01 02:00:00+00","0","0","4.51","0.45","3.12","17.17","11.43","0.71","1.98","0.24","2.22","0.92","2.59","231.08","215","1.45","80.87","26.02","28.33","27.78","-0.65","0","DKJ33",12,"{""CO"": 1, ""O3"": 2, ""CH4"": 3, ""NO2"": 12, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","2","1","12","1","3"
"2025-05-24 11:53:27.007199+00","2025-05-29 09:21:44.768941+00","6873","2025-01-01 02:30:00+00","0","0","3.3","0.39","3.38","18.92","12.55","0.75","2.09","0.26","2.35","0.21","1.28","247.82","212","2.04","81.22","25.95","28.97","27.62","-0.69","0","DKJ33",12,"{""CO"": 1, ""O3"": 2, ""CH4"": 3, ""NO2"": 12, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","2","1","12","1","3"
"2025-05-24 11:53:27.010206+00","2025-05-29 09:21:44.820114+00","6874","2025-01-01 03:00:00+00","0","0","3.39","0.25","4.11","18.69","13.03","0.7","2.03","0.27","2.3","0.64","3.48","226.02","234","2.57","82.31","25.77","28.38","27.68","-0.61","0","DKJ33",12,"{""CO"": 1, ""O3"": 2, ""CH4"": 3, ""NO2"": 12, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","2","1","12","1","3"
"2025-05-24 11:53:27.01255+00","2025-05-29 09:28:56.227253+00","6875","2025-01-01 03:30:00+00","0","0","7.85","0.21","2.15","11.45","7.68","0.42","2.01","0.12","2.13","1.51","4.36","234.44","223","3.15","80.16","26.15","28.92","27.51","-0.56","0","DKJ33",12,"{""CO"": 1, ""O3"": 2, ""CH4"": 3, ""NO2"": 12, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","2","1","12","1","3"
"2025-05-24 11:53:27.014934+00","2025-05-29 09:21:44.862175+00","6876","2025-01-01 04:00:00+00","0","0","34.47","0.12","1.08","6.28","4.13","0.28","1.74","0.05","2.09","1.37","4.11","240.57","251","3.41","79.9","26.24","28.61","27.78","-0.64","0","DKJ33",11,"{""CO"": 1, ""O3"": 4, ""CH4"": 3, ""NO2"": 11, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","4","1","11","1","3"
"2025-05-24 11:53:27.018318+00","2025-05-29 09:28:56.26223+00","6877","2025-01-01 04:30:00+00","0","0","12.92","0.11","1.08","6.71","4.36","0.28","21.5","1.61","2.02","1.28","3.9","244.68","255","4.13","79.92","26.22","28.95","27.81","-0.64","0","DKJ33",10,"{""CO"": 1, ""O3"": 4, ""CH4"": 5, ""NO2"": 10, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","4","1","10","1","5"
"2025-05-24 11:53:27.02122+00","2025-05-29 09:21:44.889175+00","6878","2025-01-01 05:00:00+00","0","0","13.79","0.4","0.93","5.22","3.46","0.24","1.97","-0.05","1.8","1.18","3.43","249.59","256","4.37","80.23","26.1","28.19","27.58","-0.65","0","DKJ33",10,"{""CO"": 1, ""O3"": 4, ""CH4"": 5, ""NO2"": 10, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","4","1","10","1","5"
"2025-05-24 11:53:27.025352+00","2025-05-29 09:21:44.925301+00","6879","2025-01-01 05:30:00+00","0","0","12.14","0.17","1.01","6.31","4.1","0.25","1.94","1.51","22.16","0.92","3.22","248.28","257","5.14","81.05","25.92","28.87","27.67","-0.66","0","DKJ33",9,"{""CO"": 1, ""O3"": 4, ""CH4"": 5, ""NO2"": 9, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","4","1","9","1","5"
"2025-05-24 11:53:27.029125+00","2025-05-29 09:28:56.29423+00","6880","2025-01-01 06:00:00+00","0","0","10.78","0.09","1.18","7.09","4.63","0.31","1.94","0.12","2.06","0.94","3.33","235.88","259","5.39","82.66","25.69","28.11","27.56","6.33","0","DKJ33",9,"{""CO"": 1, ""O3"": 4, ""CH4"": 4, ""NO2"": 9, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","4","1","9","1","4"
"2025-05-24 11:53:27.035867+00","2025-05-29 09:21:44.957507+00","6881","2025-01-01 06:30:00+00","0","0","10.83","0.13","2.74","9.85","7.33","0.34","1.96","0.11","2.06","0.8","2.73","250.56","236","6.29","82.04","26","28.74","27.51","45.86","0","DKJ33",9,"{""CO"": 1, ""O3"": 4, ""CH4"": 4, ""NO2"": 9, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","4","1","9","1","4"
"2025-05-24 11:53:27.040104+00","2025-05-29 09:21:44.983007+00","6882","2025-01-01 07:00:00+00","0","0","16.08","0.13","2.26","6.45","5.17","0.31","1.93","0.07","2.01","1.78","7.24","255.28","268","6.5","78.39","27.16","28.83","27.81","147.46","0","DKJ33",8,"{""CO"": 1, ""O3"": 5, ""CH4"": 4, ""NO2"": 8, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","5","1","8","1","4"
"2025-05-24 11:53:27.04481+00","2025-05-29 09:28:56.330328+00","6883","2025-01-01 07:30:00+00","0","0","20.45","0.25","1.79","3.71","3.37","0.24","1.92","0.02","1.94","2.09","6.44","268.93","266","7.08","76.78","27.71","30.22","27.6","188.3","0","DKJ33",8,"{""CO"": 1, ""O3"": 5, ""CH4"": 4, ""NO2"": 8, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","5","1","8","1","4"
"2025-05-24 11:53:27.04957+00","2025-05-29 09:21:45.005852+00","6884","2025-01-01 08:00:00+00","0","0","25.13","0.21","1.61","2.91","2.8","0.27","1.93","0.08","2.01","2.37","6.14","258.07","260","7.5","75.59","28.38","29.67","27.52","352.73","0","DKJ33",8,"{""CO"": 1, ""O3"": 5, ""CH4"": 4, ""NO2"": 8, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","5","1","8","1","4"
"2025-05-24 11:53:27.053903+00","2025-05-29 09:28:56.366743+00","6885","2025-01-01 08:30:00+00","0","0","26.93","0.16","1.47","2.82","2.64","0.39","1.96","0.21","2.17","2.29","6.27","260.44","248","8.11","73.84","29.01","30.79","27.48","304.75","0","DKJ33",7,"{""CO"": 1, ""O3"": 6, ""CH4"": 4, ""NO2"": 7, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","6","1","7","1","4"
"2025-05-24 11:53:27.057966+00","2025-05-29 09:21:45.026245+00","6886","2025-01-01 09:00:00+00","0","0","32.03","0.12","1.19","1.89","1.94","0.44","1.9","0.31","2.2","2.33","7.34","262.46","259","8.53","68.41","29.58","29.83","27.71","422.62","0","DKJ33",7,"{""CO"": 1, ""O3"": 6, ""CH4"": 4, ""NO2"": 7, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","6","1","7","1","4"
"2025-05-24 11:53:27.062136+00","2025-05-29 09:28:56.418803+00","6887","2025-01-01 09:30:00+00","0","0","37.08","0.2","1.07","1.61","1.69","0.21","1.83","0.07","1.9","2.92","7.38","243.14","249","9.27","63.46","30.49","29.75","27.84","638.89","0","DKJ33",7,"{""CO"": 1, ""O3"": 6, ""CH4"": 4, ""NO2"": 7, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","NO2","0","0","6","1","7","1","4"
"2025-05-24 11:53:27.066897+00","2025-05-29 09:28:56.462423+00","6888","2025-01-01 10:00:00+00","0","0","40.09","0.46","1.02","1.7","1.7","0.3","1.82","0.22","2.04","2.09","6.95","259.49","271","9.3","61.12","31.59","30.17","28.12","698.24","0","DKJ33",7,"{""CO"": 1, ""O3"": 7, ""CH4"": 4, ""NO2"": 7, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","7","1","7","1","4"
"2025-05-24 11:53:27.070731+00","2025-05-29 09:21:45.110806+00","6889","2025-01-01 10:30:00+00","0","0","44.11","0.56","0.99","1.86","1.76","0.49","1.82","0.41","2.23","2.18","6.46","256.74","259","10.02","60.09","32.08","29.81","28.37","609.35","0","DKJ33",8,"{""CO"": 1, ""O3"": 8, ""CH4"": 4, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","8","1","6","1","4"
"2025-05-24 11:53:27.07517+00","2025-05-29 09:21:45.1381+00","6890","2025-01-01 11:00:00+00","0","0","48.39","0.62","1.1","2.5","2.18","0.35","1.83","0.24","2.08","1.98","6.54","269.64","241","10.33","58.97","32.31","29.74","28.78","565.63","0","DKJ33",8,"{""CO"": 1, ""O3"": 8, ""CH4"": 4, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","8","1","6","1","4"
"2025-05-24 11:53:27.080392+00","2025-05-29 09:28:56.490228+00","6891","2025-01-01 11:30:00+00","0","0","53.26","1.35","1.14","3.27","2.62","0.19","1.83","0.01","1.84","2.03","7.03","264.15","255","11.21","59.14","32.13","29.7","28.77","520.08","0","DKJ33",9,"{""CO"": 1, ""O3"": 9, ""CH4"": 4, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","9","1","6","1","4"
"2025-05-24 11:53:27.084398+00","2025-05-29 09:21:45.166723+00","6892","2025-01-01 12:00:00+00","0","0","47.42","1.16","1.09","3.06","2.46","0.17","1.82","-0.01","1.81","1.84","7.12","272.8","288","11.36","59.77","31.31","28.53","29","228.94","0","DKJ33",9,"{""CO"": 1, ""O3"": 9, ""CH4"": 4, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","9","1","6","1","4"
"2025-05-24 11:53:27.089013+00","2025-05-29 09:21:45.18677+00","6893","2025-01-01 12:30:00+00","0","0","60.09","1.73","1.24","4.73","3.45","0.23","1.88","0.01","1.89","1.63","5.62","303.83","273","12.06","61.35","31.25","29.08","28.99","402.1","0","DKJ33",10,"{""CO"": 1, ""O3"": 10, ""CH4"": 3, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","10","1","6","1","3"
"2025-05-24 11:53:27.093546+00","2025-05-29 09:28:56.516909+00","6894","2025-01-01 13:00:00+00","0","0","68.25","1.89","1.17","5.7","3.9","0.24","1.9","0.02","1.92","1.54","5.4","295.22","216","12.5","61.88","31.45","29.34","29","353.92","0","DKJ33",11,"{""CO"": 1, ""O3"": 11, ""CH4"": 3, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","11","1","6","1","3"
"2025-05-24 11:53:27.097246+00","2025-05-29 09:21:45.206775+00","6895","2025-01-01 13:30:00+00","0","0","65.86","2.2","1.55","7.7","5.25","0.24","1.95","0.02","1.97","1.52","7.59","302.16","348","13.06","63.94","30.69","29.08","28.89","217.79","0","DKJ33",11,"{""CO"": 1, ""O3"": 11, ""CH4"": 3, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","11","1","6","1","3"
"2025-05-24 11:53:27.102019+00","2025-05-29 09:28:56.539878+00","6896","2025-01-01 14:00:00+00","0","0","62","0.79","1.03","8.14","5.07","0.27","1.98","0.02","2","1.73","6.39","307.26","328","13.37","65.9","29.95","28.67","28.82","90.35","0","DKJ33",12,"{""CO"": 1, ""O3"": 12, ""CH4"": 3, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","12","1","6","1","3"
"2025-05-24 11:53:27.107538+00","2025-05-29 09:21:45.236488+00","6897","2025-01-01 14:30:00+00","0","0","58.39","0.6","1.11","8.48","5.3","0.31","1.63","0.04","1.99","2.14","6.84","249.76","241","14.11","78.83","28.3","27.8","28.5","49.95","0.1","DKJ33",12,"{""CO"": 1, ""O3"": 12, ""CH4"": 3, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","12","1","6","1","3"
"2025-05-24 11:53:27.112705+00","2025-05-29 09:21:45.27122+00","6898","2025-01-01 15:00:00+00","0","0","46.43","1.24","1.53","9.41","6.12","1.5","21.54","2.95","4.5","1.65","5","264.28","251","14.36","81.98","27.44","27.85","28.23","119.88","0","DKJ33",12,"{""CO"": 1, ""O3"": 12, ""CH4"": 4, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","12","1","6","1","4"
"2025-05-24 11:53:27.117431+00","2025-05-29 09:28:56.564769+00","6899","2025-01-01 15:30:00+00","0","0","44.45","1.27","1.58","11.39","7.2","1.25","1.99","1.26","3.1","1.29","3.88","256.72","259","15.25","79.9","28.16","28.3","28.02","132.19","0","DKJ33",13,"{""CO"": 1, ""O3"": 13, ""CH4"": 4, ""NO2"": 6, ""SO2"": 1, ""PM10"": 0, ""PM25"": 0}","O3","0","0","13","1","6","1","4"
